,addr_mask,chksum,code,gw,id,len,ptr,reserved,seq,time,ts_ori,ts_rx,ts_tx,type,unused
234,,,,,,1514,,,,1488942611.842931,,,,,
235,,,,,,1514,,,,1488942611.842934,,,,,
236,,,,,,1514,,,,1488942611.842935,,,,,
237,,,,,,1514,,,,1488942611.842974,,,,,
238,,,,,,1514,,,,1488942611.842985,,,,,
239,,,,,,1514,,,,1488942611.842988,,,,,
240,,,,,,1514,,,,1488942611.84299,,,,,
241,,,,,,242,,,,1488942611.842993,,,,,
242,,13883.0,0.0,,17631.0,1514,,,10.0,1488942611.843035,,,,0.0,
243,,,,,,1514,,,,1488942611.843045,,,,,
244,,,,,,1514,,,,1488942611.843046,,,,,
245,,,,,,1514,,,,1488942611.843047,,,,,
246,,,,,,1514,,,,1488942611.843048,,,,,
247,,,,,,1514,,,,1488942611.843049,,,,,
248,,,,,,1514,,,,1488942611.84305,,,,,
249,,,,,,1514,,,,1488942611.843051,,,,,
250,,,,,,1514,,,,1488942611.843052,,,,,
251,,,,,,1514,,,,1488942611.843054,,,,,
252,,,,,,242,,,,1488942611.843055,,,,,
253,,18745.0,0.0,,17631.0,1514,,,11.0,1488942612.843063,,,,8.0,
254,,,,,,1514,,,,1488942612.843083,,,,,
255,,,,,,1514,,,,1488942612.843085,,,,,
256,,,,,,1514,,,,1488942612.843089,,,,,
257,,,,,,1514,,,,1488942612.843091,,,,,
258,,,,,,1514,,,,1488942612.843093,,,,,
259,,,,,,1514,,,,1488942612.843127,,,,,
260,,,,,,1514,,,,1488942612.84313,,,,,
261,,,,,,1514,,,,1488942612.843132,,,,,
262,,,,,,1514,,,,1488942612.843134,,,,,
263,,,,,,242,,,,1488942612.843136,,,,,
264,,20793.0,0.0,,17631.0,1514,,,11.0,1488942612.843168,,,,0.0,
265,,,,,,1514,,,,1488942612.843178,,,,,
266,,,,,,1514,,,,1488942612.843185,,,,,
267,,,,,,1514,,,,1488942612.843187,,,,,
268,,,,,,1514,,,,1488942612.843188,,,,,
269,,,,,,1514,,,,1488942612.843189,,,,,
270,,,,,,1514,,,,1488942612.84319,,,,,
271,,,,,,1514,,,,1488942612.843191,,,,,
272,,,,,,1514,,,,1488942612.843192,,,,,
